1.93068205	1.8659	1.924365213
1.782867294	1.7903	1.804166496
1.56123635	1.6279	1.605683671
1.338100034	1.4309	1.391859872
1.182799705	1.2606	1.227756122
1.141393877	1.1682	1.161792869
1.228606369	1.1834	1.215869562
1.429919996	1.311	1.383960397
1.707185267	1.5318	1.635088326
2.004156365	1.8058	1.91821366
2.254401392	2.0773	2.170467662
2.395688923	2.2859	2.331071902
2.389563142	2.3824	2.359238365
2.237332203	2.3454	2.248865493
1.98201812	2.1889	2.031685571
1.693009911	1.9571	1.765983943
1.441035102	1.7076	1.51637173
1.276651972	1.4938	1.33472855
1.221258308	1.352	1.249827359
1.269741452	1.2982	1.266091244
1.397209737	1.3292	1.366798073
1.563997455	1.4247	1.517816464
1.720191062	1.5494	1.672589332
1.815102852	1.6595	1.781793279
1.813411169	1.7146	1.808261778
1.711375011	1.6929	1.741677743
1.542155352	1.6008	1.604387497
1.364279698	1.4704	1.443471254
1.238400648	1.3471	1.312614997
1.205407869	1.272	1.253559413
1.276869583	1.2705	1.285847007
1.438803632	1.3496	1.406556288
1.660926517	1.5003	1.595145769
1.903259153	1.7007	1.817929799
2.119265235	1.9175	2.031541938
2.261332201	2.1091	2.189214039
2.293131846	2.2341	2.252603225
2.205171357	2.2648	2.205872272
2.023015605	2.1982	2.063777286
1.799849141	2.0568	1.86719091
1.595504853	1.8796	1.667312108
1.45399938	1.7061	1.507394839
1.392210553	1.565	1.411688053
1.403138531	1.4709	1.38488785
1.466533073	1.4276	1.417660568
1.556851932	1.4305	1.491470228
1.645136195	1.4674	1.580345582
1.700052736	1.5175	1.653163379
1.695016185	1.5551	1.681031619
1.621148497	1.5595	1.649090955
1.497111419	1.5248	1.5657121
1.365826473	1.4645	1.461365021
1.27691123	1.4046	1.375966959
1.264900937	1.3716	1.34194417
1.336837357	1.3811	1.373150379
1.475282151	1.4356	1.464630129
1.650995441	1.5291	1.599743795
1.833913675	1.6517	1.756954922
1.996079008	1.7907	1.911908611
2.110135528	1.9281	2.037335351
2.151789228	2.0407	2.106565698
2.10951506	2.1061	2.102634676
1.995059528	2.1123	2.027867324
1.844052325	2.0637	1.905773912
1.702344893	1.9782	1.771721599
1.605365483	1.8774	1.657484021
1.56413192	1.7766	1.57964994
1.566510785	1.6823	1.538498722
1.590244528	1.5967	1.525377947
1.616005072	1.5233	1.530607146
1.631367883	1.4679	1.545646121
1.626910842	1.4342	1.560476076
1.59333997	1.4192	1.562502268
1.52623793	1.4143	1.541488896
1.435322743	1.4117	1.497945366
1.347997622	1.4113	1.4472107
1.300090069	1.4204	1.413751606
1.317709	1.4475	1.418262114
1.4028586	1.4941	1.466638884
1.53339473	1.5531	1.548656542
1.6765837	1.6139	1.646170199
1.805077394	1.6707	1.743190339
1.903845977	1.7251	1.829908574
1.966227714	1.782	1.899544606
1.987311842	1.8424	1.943975653
1.96385546	1.9002	1.954677872
1.901361298	1.9461	1.929214054
1.819689335	1.9734	1.876750009
1.748191976	1.9818	1.815774543
1.710718803	1.9727	1.763982127
1.711137822	1.9443	1.727819394
1.731187626	1.8897	1.700208074
1.74287476	1.8023	1.668211554
1.725797831	1.6845	1.624010029
1.676435117	1.5518	1.570184682
1.604383424	1.4282	1.516003956
1.522095949	1.3357	1.469634001
1.439038447	1.2868	1.434208945
1.364724711	1.283	1.410901126
1.314651733	1.3197	1.404486638
1.309313584	1.3901	1.42405132
1.363237277	1.4846	1.476326335
1.471849918	1.5881	1.557001911
1.608180386	1.6793	1.648481166
1.734304496	1.7377	1.727567561
1.82019292	1.7536	1.777921404
1.856407044	1.7343	1.797791903
1.852591839	1.7016	1.797577516
1.825752309	1.6809	1.790423884
1.78977506	1.6896	1.784347652
1.754074702	1.7323	1.781636927
1.728740472	1.8025	1.783553198
1.72671938	1.8878	1.793306281
1.757136616	1.972	1.81275695
1.814203135	2.0344	1.835715386
1.87285194	2.0512	1.845536942
1.898169334	2.0018	1.821872187
1.864069268	1.8798	1.753236103
1.768144445	1.7009	1.646155771
1.632221904	1.5005	1.523724513
1.489608464	1.3226	1.414734788
1.369951154	1.2041	1.341669636
1.292337132	1.1655	1.315453708
1.267777358	1.2084	1.337836526
1.303142041	1.3198	1.405565206
1.398705063	1.4762	1.510429515
1.540234277	1.6455	1.635479121
1.694901703	1.7904	1.7536523
1.81935199	1.8762	1.834401284
1.878214873	1.8829	1.856810784
